WeekEndingDate,HBT,Attendances,Within4Hours,Over4Hours,Over8Hours,Over12Hours,BreachRate,Within4HoursPct,BreachedTarget,BoardName,WeekOfYear,Month,Year,FluSeasonFlag,WinterFlag,ChristmasWeek,CovidPhase,CovidEra,PostCovidStress,VaxRollout,Lag1_BreachRate,Lag2_BreachRate,Lag4_BreachRate,Lag8_BreachRate,Lag1_Attendances,Lag4_Attendances,RollingMean4W,RollingMean8W,RollingStd4W,RollingMax4W,BreachRateDelta,SIMDScore,IsUrban,PopulationK,AttendancesPer1000,FluSearchIndex,IsSchoolHoliday,DaysToNextHoliday,DaysSinceHoliday,TotalClinicalWTE,StaffingRatioPer1000,StaffingPressureFlag
2015-02-22,S08000015,2161,1739,422,52,4,0.1952799629801018,0.8047200370198982,1,Ayrshire & Arran,8,2,2015,1,1,0,0,0,0,0,,,,,,,,,,,,37.2,0,369,5.856368563685637,30.25,1,40,2,6081.116855555593,2814.0290863283635,0
2015-03-01,S08000015,2189,1882,307,22,4,0.1402466879853814,0.8597533120146186,1,Ayrshire & Arran,9,3,2015,1,0,0,0,0,0,0,0.1952799629801018,,,,2161.0,,,,,,,37.2,0,369,5.932249322493225,31.5,0,33,9,6080.406666666706,2777.709760925859,0
2015-03-08,S08000015,2179,1897,282,30,7,0.1294171638366223,0.8705828361633777,1,Ayrshire & Arran,10,3,2015,1,0,0,0,0,0,0,0.1402466879853814,0.1952799629801018,,,2189.0,,,,,,,37.2,0,369,5.905149051490515,31.5,0,26,16,6079.696477777818,2790.131472133005,0
2015-03-15,S08000015,2131,1932,199,25,16,0.0933833880807132,0.9066166119192868,1,Ayrshire & Arran,11,3,2015,1,0,0,0,0,0,0,0.1294171638366223,0.1402466879853814,,,2179.0,,,,,,,37.2,0,369,5.775067750677507,31.5,0,19,23,6078.98628888893,2852.6449032796486,0
2015-03-22,S08000015,2292,2030,262,23,3,0.1143106457242583,0.8856893542757417,1,Ayrshire & Arran,12,3,2015,1,0,0,0,0,0,0,0.0933833880807132,0.1294171638366223,0.1952799629801018,,2131.0,2161.0,0.1395818007207046,,0.0421913914110016,0.1952799629801018,,37.2,0,369,6.211382113821138,31.5,0,12,30,6078.276100000043,2651.952923211188,1
2015-03-29,S08000015,2323,1977,346,48,1,0.1489453293155402,0.8510546706844597,1,Ayrshire & Arran,13,3,2015,1,0,0,0,0,0,0,0.1143106457242583,0.0933833880807132,0.1402466879853814,,2292.0,2189.0,0.1193394714067438,,0.0203115643509631,0.1402466879853814,-0.0809693172558435,37.2,0,369,6.29539295392954,31.5,0,5,37,6077.5659111111545,2616.257387477897,1
2015-04-05,S08000015,2257,2041,216,24,1,0.0957022596366858,0.904297740363314,1,Ayrshire & Arran,14,4,2015,0,0,0,0,0,0,0,0.1489453293155402,0.1143106457242583,0.1294171638366223,,2323.0,2179.0,0.1215141317392835,,0.0235099799117456,0.1489453293155402,0.0086986413301587,37.2,0,369,6.116531165311653,27.25,1,1,1,6075.284923076966,2691.752292014606,0
2015-04-12,S08000015,2265,2040,225,50,7,0.0993377483443708,0.9006622516556292,1,Ayrshire & Arran,15,4,2015,0,0,0,0,0,0,0,0.0957022596366858,0.1489453293155402,0.0933833880807132,,2257.0,2131.0,0.1130854056892993,,0.025676049801054,0.1489453293155402,-0.0337149041999365,37.2,0,369,6.138211382113822,27.25,1,1,1,6072.375615384658,2680.9605365936677,1
2015-04-19,S08000015,2128,1850,278,21,3,0.1306390977443609,0.8693609022556391,1,Ayrshire & Arran,16,4,2015,0,0,0,0,0,0,0,0.0993377483443708,0.0957022596366858,0.1143106457242583,0.1952799629801018,2265.0,2292.0,0.1145739957552137,0.1270778982379592,0.024288156120805,0.1489453293155402,0.0059543602636576,37.2,0,369,5.766937669376694,27.25,1,60,2,6069.466307692349,2852.192813765201,0
2015-04-26,S08000015,2368,1974,394,52,14,0.1663851351351351,0.8336148648648649,1,Ayrshire & Arran,17,4,2015,0,0,0,0,0,0,0,0.1306390977443609,0.0993377483443708,0.1489453293155402,0.1402466879853814,2128.0,2323.0,0.1186561087602394,0.1189977900834916,0.0255676041478631,0.1489453293155402,0.0163284520201025,37.2,0,369,6.417344173441735,27.25,0,60,9,6066.55700000004,2561.890625000017,1
2015-05-03,S08000015,2153,1950,203,16,3,0.0942870413376683,0.9057129586623316,1,Ayrshire & Arran,18,5,2015,0,0,0,0,0,0,0,0.1663851351351351,0.1306390977443609,0.0957022596366858,0.1294171638366223,2368.0,2257.0,0.1230160602151381,0.1222650959772108,0.0328922154705184,0.1663851351351351,0.0174398058195948,37.2,0,369,5.8346883468834685,23.0,0,54,16,6063.647692307732,2816.371431633874,0
2015-05-10,S08000015,2272,1936,336,59,16,0.1478873239436619,0.852112676056338,1,Ayrshire & Arran,19,5,2015,0,0,0,0,0,0,0,0.0942870413376683,0.1663851351351351,0.0993377483443708,0.0933833880807132,2153.0,2265.0,0.1226622556403837,0.1178738306648415,0.0332891655477229,0.1663851351351351,-0.0014152182990175,37.2,0,369,6.157181571815718,23.0,0,47,23,6060.738384615423,2667.57851435538,1
2015-05-17,S08000015,2279,1952,327,27,3,0.143483984203598,0.8565160157964019,1,Ayrshire & Arran,20,5,2015,0,0,0,0,0,0,0,0.1478873239436619,0.0942870413376683,0.1306390977443609,0.1143106457242583,2272.0,2128.0,0.1347996495402065,0.1246868226477101,0.030700226579927,0.1663851351351351,0.0485495755992911,37.2,0,369,6.176151761517615,23.0,0,40,30,6057.8290769231135,2658.1084146218136,1
2015-05-24,S08000015,2386,2099,287,16,0,0.1202849958088851,0.8797150041911148,1,Ayrshire & Arran,21,5,2015,0,0,0,0,0,0,0,0.143483984203598,0.1478873239436619,0.1663851351351351,0.1489453293155402,2279.0,2368.0,0.1380108711550158,0.1283334899576276,0.0307916191868218,0.1663851351351351,0.0128448864592371,37.2,0,369,6.466124661246613,23.0,0,33,37,6054.919769230805,2537.6864078922067,1
2015-05-31,S08000015,2297,2130,167,10,2,0.0727035263387026,0.9272964736612972,1,Ayrshire & Arran,22,5,2015,0,0,0,0,0,0,0,0.1202849958088851,0.143483984203598,0.0942870413376683,0.0957022596366858,2386.0,2153.0,0.1264858363234533,0.1247509482692957,0.0246453073649388,0.1478873239436619,-0.0461001393262499,37.2,0,369,6.224932249322493,23.0,0,26,44,6052.010461538496,2634.745520913581,1
2015-06-07,S08000015,2178,1956,222,26,5,0.1019283746556473,0.8980716253443526,1,Ayrshire & Arran,23,6,2015,0,0,0,0,0,0,0,0.0727035263387026,0.1202849958088851,0.1478873239436619,0.0993377483443708,2297.0,2272.0,0.1210899575737119,0.1218761066070478,0.0344552171384271,0.1478873239436619,-0.0215835149989657,37.2,0,369,5.902439024390244,25.25,0,19,51,6049.101153846188,2777.3650844105546,0
2015-06-14,S08000015,2443,2211,232,19,4,0.0949652067130577,0.9050347932869424,1,Ayrshire & Arran,24,6,2015,0,0,0,0,0,0,0,0.1019283746556473,0.0727035263387026,0.143483984203598,0.1306390977443609,2178.0,2279.0,0.1096002202517082,0.1221999348959573,0.0299026037038831,0.143483984203598,-0.0459589492880146,37.2,0,369,6.62059620596206,25.25,0,12,58,6046.191846153879,2474.904562486238,1
2015-06-21,S08000015,2321,2164,157,14,1,0.0676432572167169,0.9323567427832832,1,Ayrshire & Arran,25,6,2015,0,0,0,0,0,0,0,0.0949652067130577,0.1019283746556473,0.1202849958088851,0.1663851351351351,2443.0,2386.0,0.0974705258790731,0.1177406985170445,0.0196642937346638,0.1202849958088851,-0.0485187774905403,37.2,0,369,6.289972899728998,25.25,0,5,60,6043.28253846157,2603.7408610347134,1
2015-06-28,S08000015,2273,2126,147,3,0,0.0646722393312802,0.9353277606687196,1,Ayrshire & Arran,26,6,2015,0,0,0,0,0,0,0,0.0676432572167169,0.0949652067130577,0.0727035263387026,0.0942870413376683,2321.0,2297.0,0.0843100912310311,0.1053979637772422,0.0166976156124756,0.1019283746556473,-0.0526417385921682,37.2,0,369,6.159891598915989,25.25,1,1,1,6040.373230769262,2657.445328099103,1
2015-07-05,S08000015,2359,2206,153,19,1,0.0648579906740144,0.9351420093259856,1,Ayrshire & Arran,27,7,2015,0,0,0,0,0,0,0,0.0646722393312802,0.0676432572167169,0.1019283746556473,0.1478873239436619,2273.0,2178.0,0.0823022694791755,0.1016961135264437,0.0188965480737778,0.1019283746556473,-0.0080312870074223,37.2,0,369,6.392953929539296,23.5,1,1,1,6040.0870000000305,2560.4438321322723,1
2015-07-12,S08000015,2192,2071,121,3,0,0.0552007299270073,0.9447992700729928,1,Ayrshire & Arran,28,7,2015,0,0,0,0,0,0,0,0.0648579906740144,0.0646722393312802,0.0949652067130577,0.143483984203598,2359.0,2443.0,0.0730346734837673,0.0913174468677377,0.014683370455628,0.0949652067130577,-0.0370703839816329,37.2,0,369,5.940379403794038,23.5,1,1,1,6040.850000000031,2755.8622262773865,0
2015-07-19,S08000015,2243,2156,87,7,5,0.03878733838609,0.96121266161391,0,Ayrshire & Arran,29,7,2015,0,0,0,0,0,0,0,0.0552007299270073,0.0648579906740144,0.0676432572167169,0.1202849958088851,2192.0,2321.0,0.0630935542872547,0.0802820400831639,0.0054345179289195,0.0676432572167169,-0.0397644767860504,37.2,0,369,6.078590785907859,23.5,1,1,1,6041.613000000031,2693.5412394115165,0
2015-07-26,S08000015,2185,2069,116,4,1,0.0530892448512585,0.9469107551487416,1,Ayrshire & Arran,30,7,2015,0,0,0,0,0,0,0,0.03878733838609,0.0552007299270073,0.0646722393312802,0.0727035263387026,2243.0,2273.0,0.0558795745795979,0.0700948329053145,0.0122546355468313,0.0648579906740144,-0.0288559188306269,37.2,0,369,5.921409214092141,23.5,1,1,1,6042.376000000032,2765.3894736842253,0
2015-08-02,S08000015,2199,2127,72,8,1,0.0327421555252387,0.9672578444747612,0,Ayrshire & Arran,31,8,2015,0,0,0,0,0,0,0,0.0530892448512585,0.03878733838609,0.0648579906740144,0.1019283746556473,2185.0,2359.0,0.0529838259595925,0.067643047719384,0.0107619983186723,0.0648579906740144,-0.0115829944800217,37.2,0,369,5.959349593495935,23.25,1,1,1,6043.139000000032,2748.1305138699554,0
2015-08-09,S08000015,2204,2120,84,5,0,0.0381125226860254,0.9618874773139746,0,Ayrshire & Arran,32,8,2015,0,0,0,0,0,0,0,0.0327421555252387,0.0530892448512585,0.0552007299270073,0.0949652067130577,2199.0,2192.0,0.0449548671723986,0.0589947703280829,0.0109290826226062,0.0552007299270073,-0.0321158351487757,37.2,0,369,5.97289972899729,23.25,1,1,1,6043.902000000033,2742.242286751376,0
2015-08-16,S08000015,2279,2159,120,2,0,0.0526546731022378,0.9473453268977622,1,Ayrshire & Arran,33,8,2015,0,0,0,0,0,0,0,0.0381125226860254,0.0327421555252387,0.03878733838609,0.0676432572167169,2204.0,2243.0,0.0406828153621531,0.0518881848247039,0.0087019692928574,0.0530892448512585,-0.0170882072409819,37.2,0,369,6.176151761517615,23.25,1,1,1,6044.665000000033,2652.332163229501,1
2015-08-23,S08000015,2277,2192,85,1,0,0.0373298199385155,0.9626701800614844,0,Ayrshire & Arran,34,8,2015,0,0,0,0,0,0,0,0.0526546731022378,0.0381125226860254,0.0530892448512585,0.0646722393312802,2279.0,2185.0,0.0441496490411901,0.050014611810394,0.0103090512087052,0.0530892448512585,0.0138673347161478,37.2,0,369,6.170731707317073,23.25,1,50,6,6045.4280000000335,2654.996925779549,1
2015-08-30,S08000015,2426,2245,181,16,2,0.0746084089035449,0.9253915910964552,1,Ayrshire & Arran,35,8,2015,0,0,0,0,0,0,0,0.0373298199385155,0.0526546731022378,0.0327421555252387,0.0648579906740144,2277.0,2199.0,0.0402097928130043,0.0465968093862984,0.0086281214219998,0.0526546731022378,-0.015759424912743,37.2,0,369,6.574525745257453,23.25,0,43,13,6046.1910000000335,2492.2469084913573,1
2015-09-06,S08000015,2394,2251,143,8,0,0.0597326649958228,0.9402673350041773,1,Ayrshire & Arran,36,9,2015,0,0,0,0,0,0,0,0.0746084089035449,0.0373298199385155,0.0381125226860254,0.0552007299270073,2426.0,2204.0,0.0506763561575809,0.0478156116649897,0.0174416821352084,0.0746084089035449,0.0418662533783062,37.2,0,369,6.487804878048781,25.5,0,36,20,6046.954000000034,2525.8788638262463,1
2015-09-13,S08000015,2377,2224,153,9,0,0.064366848969289,0.935633151030711,1,Ayrshire & Arran,37,9,2015,0,0,0,0,0,0,0,0.0597326649958228,0.0746084089035449,0.0526546731022378,0.03878733838609,2394.0,2279.0,0.0560813917350302,0.0483821035485917,0.0154913525019133,0.0746084089035449,0.0216201423097973,37.2,0,369,6.441734417344174,25.5,0,29,27,6047.717000000034,2544.2646192679995,1
2015-09-20,S08000015,2464,2213,251,28,2,0.1018668831168831,0.8981331168831169,1,Ayrshire & Arran,38,9,2015,0,0,0,0,0,0,0,0.064366848969289,0.0597326649958228,0.0373298199385155,0.0530892448512585,2377.0,2277.0,0.059009435701793,0.0515795423714915,0.0157327539666225,0.0746084089035449,0.0117121758670512,37.2,0,369,6.677506775067751,25.5,0,22,34,6048.480000000035,2454.740259740274,1
2015-09-27,S08000015,2242,2067,175,27,5,0.0780553077609277,0.9219446922390724,1,Ayrshire & Arran,39,9,2015,0,0,0,0,0,0,0,0.1018668831168831,0.064366848969289,0.0746084089035449,0.0327421555252387,2464.0,2426.0,0.0751437014963849,0.0576767471546946,0.0188684531294479,0.1018668831168831,0.0645370631783676,37.2,0,369,6.075880758807588,25.5,0,15,41,6049.243000000035,2698.145851917946,0
2015-10-04,S08000015,2352,2093,259,37,0,0.1101190476190476,0.8898809523809523,1,Ayrshire & Arran,40,10,2015,1,0,0,0,0,0,0,0.0780553077609277,0.1018668831168831,0.0597326649958228,0.0381125226860254,2242.0,2394.0,0.0760054262107306,0.0633408911841557,0.0189145112320412,0.1018668831168831,0.0034468988573827,37.2,0,369,6.373983739837398,25.25,0,8,48,6049.951869565253,2572.2584479444104,1
